SE No.,Book Title,Author,Publication Year,Original Language,Genre,No. of Words,Time,Reading Ease (no.),Reading Ease (Category),Translated By,Illustrated by,Part of a Series,Cover Page Artwork Adapted from,Cover Page Artwork Completed in,Cover Page Artist,Typefaces (on the cover and the title pages),Typefaces created by,Release Date and Time (on Standard Ebooks),Download (or Read Online)
0000359,Anna Karenina,Leo Tolstoy,1878,Russian,Fiction,"356,741",21 hours 38 minutes,70.84,Fairly easy,Constance Garnett,,No,Elizabeth Winthrop Chanler (Mrs. John Jay Chapman),1893,John Singer Sargent,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 21, 2020, 11:28 p.m.",Download
0000360,A Passage to India,E. M. Forster,1924,English,Fiction,"102,416",6 hours 13 minutes,73.88,Fairly easy,,,No,The Rajah Starting on a Hunt,1885,Edwin Lord Weeks,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 24, 2020, 1:22 a.m.",Download
0000361,The Gods of Mars,Edgar Rice Burroughs,1918,English,Fantasy,"82,628",5 hours 1 minute,66.88,Average difficulty,,,Yes,The Cold Hollow Eye of a Revolver Sought the Center of My Forehead,1918,Frank E. Schoonover,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 24, 2020, 1:36 a.m.",Download
0000362,The Country of the Pointed Firs,Sarah Orne Jewett,1896,English,Fiction,"43,065",2 hours 37 minutes,76.56,Fairly easy,,,No,"Mount Starr King, Yosemite",1866,Albert Bierstadt,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"May 31, 2020, 6:27 p.m.",Download
0000363,Herland,Charlotte Perkins Gilman,1915,English,Science Fiction,"53,662",3 hours 16 minutes,71.55,Fairly easy,,,Yes,Pandora,1914,Odilon Redon,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 1, 2020, 1:09 a.m.",Download
0000364,Triplanetary,E. E. Smith,1948,English,Science Fiction,"93,351",5 hours 40 minutes,63.09,Average difficulty,,,Yes,Composition No. 61,1939,Stuart Walker,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 9, 2020, 8:59 p.m.",Download
0000365,Nonsense Books,Edward Lear,1894,English,"Comedy, Poetry, Shorts","28,539",1 hour 44 minutes,74.73,Fairly easy,,,No,Trees,1914,H. Lyman Saÿen,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 11, 2020, 10:07 p.m.",Download
0000366,The Hairy Ape,Eugene O’Neill,1922,English,Drama,"16,739",1 hour 1 minute,87.62,Easy,,,No,The Harbor,1943,Josef Presser,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 12, 2020, 12:43 a.m.",Download
0000367,We,Yevgeny Zamyatin,1924,Russian,Science Fiction,"64,027",3 hours 53 minutes,73.78,Fairly easy,Gregory Zilboorg,,No,The Temptation of St. Anthony,1916,John Covert,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 13, 2020, 8:08 p.m.",Download
0000368,At the Earth’s Core,Edgar Rice Burroughs,1914,English,Science Fiction,"49,941",3 hours 2 minutes,65.25,Average difficulty,,,Yes,At the Earth’s Core,1922,J. Allen St. John,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 13, 2020, 8:18 p.m.",Download
0000369,Villette,Charlotte Brontë,1853,English,Fiction,"195,893",11 hours 53 minutes,68.81,Average difficulty,,,No,"Madame Frederic Breyer (Fanny Hélène van Bruyssel, 1830-94)",1858,Gustave Courbet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 16, 2020, 7:28 p.m.",Download
0000370,The Marvelous Land of Oz,L. Frank Baum,1904,English,Fiction,"42,061",2 hours 33 minutes,71.24,Fairly easy,,,Yes,A Farm in Brittany,1894,Paul Gauguin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 23, 2020, 8:25 p.m.",Download
0000371,A Tangled Tale,Lewis Carroll,1880-85,English,Fiction,"27,205",1 hour 39 minutes,72.05,Fairly easy,,,No,The Tribuna of the Uffizi,1777,Johan Zoffany,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 24, 2020, 5:37 p.m.",Download
0000372,A Midsummer Night’s Dream,William Shakespeare,1600,English,"Comedy, Drama","17,455",1 hour 4 minutes,80.31,Easy,,,No,The Quarrel of Oberon and Titania,1849,Joseph Noel Paton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 26, 2020, 1:11 a.m.",Download
0000373,The Time Traders,Andre Norton,1958,English,Science Fiction,"64,442",3 hours 55 minutes,80.51,Easy,,,Yes,Tierschicksale,1913,Franz Marc,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"June 26, 2020, 5:52 p.m.",Download
0000374,Pellucidar,Edgar Rice Burroughs,1915,English,Science Fiction,"57,770",3 hours 31 minutes,67.59,Average difficulty,,,Yes,Pellucidar,1923,J. Allen St. John,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 1, 2020, 2:15 a.m.",Download
0000375,Journey to the Center of the Earth,Jules Verne,1864,French,"Adventure, Science Fiction","72,458",4 hours 24 minutes,72.46,Fairly easy,F. A. Malleson,,Yes,Eruption of the Volcano Vesuvius,1821,Johan Christian Dahl,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 1, 2020, 9:35 p.m.",Download
0000376,The Gambler,Fyodor Dostoevsky,1866,Russian,Fiction,"60,987",3 hours 42 minutes,71.85,Fairly easy,C. J. Hogarth,,No,Gamblers in Monte Carlo,1892,Edvard Munch,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 1, 2020, 11:40 p.m.",Download
0000377,First Lensman,E. E. Smith,1950,English,Science Fiction,"100,182",6 hours 5 minutes,64.91,Average difficulty,,,Yes,Idle Governor,1940,Horatio C. Forjohn,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 7, 2020, 12:07 a.m.",Download
0000378,Le Morte d’Arthur,Thomas Malory,1485,English,Fiction,"349,638",21 hours 12 minutes,69.25,Fairly easy,,,No,"And When They Came to the Sword That the Hand Held, King Arthur Took It Up",1919,N. C. Wyeth,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 9, 2020, 5:41 p.m.",Download
0000379,Jurgen,James Branch Cabell,1919,English,"Comedy, Fantasy","95,401",5 hours 47 minutes,70.02,Fairly easy,,,Yes,Der Ritt Kunos von Falkenstein,1843,Moritz von Schwind,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 13, 2020, 11:04 p.m.",Download
0000380,Howards End,E. M. Forster,1910,English,Fiction,"111,746",6 hours 47 minutes,75.91,Fairly easy,,,No,Willy Lott’s House,1810,John Constable,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 16, 2020, 12:58 a.m.",Download
0000381,Short Fiction,Vladimir Korolenko,1879-1900,Russian,"Fiction, Shorts","234,657",14 hours 14 minutes,72.46,Fairly easy,"Aline Delano, Sergius Stepniak, William Westall, Thomas Seltzer, The Russian Review, Marian Fell, Clarence Manning",,No,The Forest in Winter,1883,Ivan Shishkin,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 16, 2020, 7:50 p.m.",Download
0000382,Poor Folk,Fyodor Dostoevsky,1846,Russian,Fiction,"55,152",3 hours 21 minutes,70.13,Fairly easy,C. J. Hogarth,,No,Life Is Everywhere,1888,Nikolai Yaroshenko,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 16, 2020, 10:19 p.m.",Download
0000383,The Man in the Brown Suit,Agatha Christie,1924,English,"Adventure, Fiction, Mystery","77,280",4 hours 42 minutes,76.82,Fairly easy,,,Yes,Victor Hugo descendant de son cabinet de travail à Hauteville House,1880,Georges-Victor Hugo,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 21, 2020, 6:13 p.m.",Download
0000384,Jude the Obscure,Thomas Hardy,1895,English,Fiction,"149,405",9 hours 4 minutes,71.55,Fairly easy,,,No,"High Street, Oxford",1810,J. M. W. Turner,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 22, 2020, 3:18 a.m.",Download
0000385,The Iron Heel,Jack London,1908,English,Fiction,"77,798",4 hours 43 minutes,73.47,Fairly easy,,,No,In the Gun Factory at Woolwich Arsenal,1918,George Clausen,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 24, 2020, 9:27 p.m.",Download
0000386,Piccadilly Jim,P. G. Wodehouse,1917,English,Fiction,"82,236",5 hours,76.01,Fairly easy,,,No,Crossing the Brook,1815,J. M. W. Turner,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 27, 2020, 1:33 a.m.",Download
0000387,The Comedy of Errors,William Shakespeare,1623,English,Drama,"16,493",1 hour,72.87,Fairly easy,,,No,"Lord John Stuart and His Brother, Lord Bernard Stuart",1638,Anthony van Dyck,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 27, 2020, 6:26 p.m.",Download
0000388,War and Peace,Leo Tolstoy,1869,Russian,Fiction,"570,087",34 hours 34 minutes,69.41,Fairly easy,"Louise Maude, Aylmer Maude",,No,"1807, Friedland",1861-75,Ernest Meissonier,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 28, 2020, 9:53 p.m.",Download
0000389,Satan’s Diary,Leonid Andreyev,1919,Russian,Fiction,"60,474",3 hours 40 minutes,73.68,Fairly easy,Herman Bernstein,,No,The Fallen Demon,1902,Mikhail Vrubel,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"July 30, 2020, 7:40 p.m.",Download
0000390,Ukridge Stories,P. G. Wodehouse,1924-26,English,"Comedy, Fiction, Shorts","98,701",5 hours 59 minutes,74.49,Fairly easy,,,No,Portrait of Paul Léautaud,1915,Michele Catti,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 3, 2020, 7:40 p.m.",Download
0000391,Main Street,Sinclair Lewis,1920,English,"Fiction, Satire","171,822",10 hours 25 minutes,73.07,Fairly easy,,,No,St. Patrick’s Day,1919,Childe Hassam,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 4, 2020, 8:42 p.m.",Download
0000392,Clotel,William Wells Brown,1853,English,Fiction,"71,730",4 hours 21 minutes,66.27,Average difficulty,,,No,Isabella,1906,Simon Maris,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 9, 2020, 8:24 p.m.",Download
0000393,Short Fiction,Fritz Leiber,1950-63,English,"Science Fiction, Shorts","191,787",11 hours 38 minutes,73.27,Fairly easy,,,No,Ocean Coast,1870-1943,Maurice Denis,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 14, 2020, 6:15 p.m.",Download
0000394,The Black Star Passes,John W. Campbell,1953,English,Science Fiction,"76,426",4 hours 38 minutes,70.53,Fairly easy,,,Yes,Solförmörkelse,1851,Bengt Nordenberg,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 15, 2020, 8:17 p.m.",Download
0000395,Erewhon,Samuel Butler,1872,English,Fiction,"84,143",5 hours 6 minutes,54.8,Fairly difficult,,,Yes,View of Cotopaxi,1857,Frederic Edwin Church,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 15, 2020, 8:47 p.m.",Download
0000396,The Autobiography of an Ex-Colored Man,James Weldon Johnson,1912,English,Fiction,"52,131",3 hours 10 minutes,64.24,Average difficulty,,,No,A Man Leaning on a Parapet,1881,Georges Seurat,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 17, 2020, 11:42 p.m.",Download
0000397,Green Meadow Stories,Thornton W. Burgess,1918-20,English,"Children’s, Fiction","90,236",5 hours 29 minutes,81.02,Easy,,,No,Rabbits on a Log,1897,Arthur Fitzwilliam Tait,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 21, 2020, 12:14 a.m.",Download
0000398,She,H. Rider Haggard,1886-87,English,Fiction,"110,601",6 hours 43 minutes,71.99,Fairly easy,,,Yes,A Grotto in the Campagna,1776,John Robert Cozens,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 21, 2020, 9:16 p.m.",Download
0000399,Queen Victoria,Lytton Strachey,1921,English,"Biography, Nonfiction","88,036",5 hours 21 minutes,58.32,Fairly difficult,,,No,Queen Victoria,1868,George Hayter,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 25, 2020, 9:58 p.m.",Download
0000400,Green Forest Stories,Thornton W. Burgess,1921-23,English,"Children’s, Fiction","86,042",5 hours 13 minutes,82.54,Easy,,,No,Fall in the Foothills,1933,W. Herbert Dunton,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 25, 2020, 11:07 p.m.",Download
0000401,Roughing It,Mark Twain,1872,English,"Memoir, Travel","165,249",10 hours 1 minute,64.64,Average difficulty,,,No,Camp Fire,1880,Winslow Homer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 26, 2020, 8:47 p.m.",Download
0000402,The Way of the World,William Congreve,1700,English,"Comedy, Drama","30,029",1 hour 50 minutes,74.69,Fairly easy,,,No,The Love Letter,1770,Jean Honoré Fragonard,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 27, 2020, 4:51 p.m.",Download
0000403,Narrative of the Life of Frederick Douglass,Frederick Douglass,1845,English,"Autobiography, Nonfiction","40,585",2 hours 28 minutes,68.3,Average difficulty,,,No,Frederick Douglass,1844,An unidentified artist,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 31, 2020, 5:49 p.m.",Download
0000404,"Poems on Various Subjects, Religious and Moral",Phillis Wheatley,1773,English,Poetry,"14,721",54 minutes,72.6,Fairly easy,,,No,Sunday Morning in Virginia,1877,Winslow Homer,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 1, 2020, 1:06 a.m.",Download
0000405,Pollyanna,Eleanor H. Porter,1913,English,Children’s,"59,008",3 hours 35 minutes,83.76,Easy,,,Yes,Young Girl with a Parasol (Aline Nunès),1883,Pierre-Auguste Renoir,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"August 22, 2020, 2:00 p.m.",Download
0000406,Irish Fairy Tales,James Stephens,1920,English,"Fiction, Shorts","66,247",4 hours 1 minute,76.96,Fairly easy,,,No,Road in the Woods,1850-1900,An unknown artist,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 7, 2020, 12:24 a.m.",Download
0000407,Bashan and I,Thomas Mann,1919,German,Nonfiction,"38,286",2 hours 20 minutes,61.29,Average difficulty,Herman George Scheffauer,,No,Dog Guarding Dead Game,1753,Jean-Baptiste Oudry,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 3, 2020, 12:00 a.m.",Download
0000408,Our Nig,Harriet E. Wilson,1859,English,"Autobiography, Fiction","25,583",1 hour 34 minutes,71.75,Fairly easy,,,No,The Gleaners,1857,Jean-François Millet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 10, 2020, 5:43 p.m.",Download
0000409,Romeo and Juliet,William Shakespeare,1597,English,Drama,"26,445",1 hour 37 minutes,81.73,Easy,,,No,The Kiss,1859,Francesco Hayez,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 12, 2020, 6:30 p.m.",Download
0000410,The Tempest,William Shakespeare,1623,English,Drama,"17,877",1 hour 6 minutes,73.47,Fairly easy,,,No,A Scene From Shakespeare’s The Tempest,1787,Francis Wheatley,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 18, 2020, 6:29 p.m.",Download
0000411,R.U.R.,Karel Čapek,1920,Czech,"Drama, Science Fiction","20,589",1 hour 15 minutes,80.88,Easy,"Paul Selver, Nigel Playfair",,No,La Femme aux Phlox,1910,Albert Gleizes,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"September 24, 2020, 5:59 p.m.",Download
0000412,He Who Gets Slapped,Leonid Andreyev,1915,Russian,Drama,"25,933",1 hour 35 minutes,79.77,Easy,Gregory Zilboorg,,No,Christ’s Entry Into Brussels in 1889,1888,James Ensor,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 4, 2020, 4:43 p.m.",Download
0000413,The Turmoil,Booth Tarkington,1915,English,Fiction,"93,720",5 hours 41 minutes,81.73,Easy,,,Yes,"Randolph Street, Chicago",1905,Colin Campbell Cooper,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 4, 2020, 6:35 p.m.",Download
0000414,Penguin Island,Anatole France,1908,French,"Comedy, Fiction, Satire","84,177",5 hours 7 minutes,60.65,Average difficulty,A. W. Evans,,No,Dominicans in Feathers,1887,Henry Stacy-Marks,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 4, 2020, 8:22 p.m.",Download
0000415,Hadji Murád,Leo Tolstoy,1912,Russian,Fiction,"48,791",2 hours 58 minutes,69.11,Fairly easy,Aylmer Maude,,No,A Caucasian,1890,Jan Ciągliński,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 8, 2020, 11:23 p.m.",Download
0000416,Pierre and Jean,Guy de Maupassant,1888,French,Fiction,"46,134",2 hours 48 minutes,78.48,Fairly easy,Clara Bell,,No,The Beach at Sainte-Adresse,1867,Claude Monet,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 11, 2020, 6:16 p.m.",Download
0000417,Quo Vadis,Henryk Sienkiewicz,1896,Polish,Fiction,"209,382",12 hours 42 minutes,68.6,Average difficulty,Jeremiah Curtin,,No,Nero’s Torches,1876,Henryk Siemiradzki,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 12, 2020, 10:18 p.m.",Download
0000418,Five Children and It,E. Nesbit,1902,English,"Children’s, Fantasy","54,681",3 hours 19 minutes,81.02,Easy,,,Yes,Zandafgraving,1839,Johannes Tavenraat,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 14, 2020, 2:04 a.m.",Download
0000419,The Decameron,Giovanni Boccaccio,1348-53,Italian,Fiction,"293,508",17 hours 48 minutes,43.13,Difficult,John Payne,,No,Sigismunda with the Heart of Guiscardo,1645,Francisco Furini,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 21, 2020, 2:07 a.m.",Download
0000420,The Art of War,Sun Tzu,-500,Chinese,Nonfiction,"24,157",1 hour 28 minutes,67.59,Average difficulty,Lionel Giles,,No,Portrait of the Imperial Bodyguard Zhanyinbao,1760,An unidentified Chinese artist,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 21, 2020, 2:39 a.m.",Download
0000421,Some Do Not …,Ford Madox Ford,1924,English,Fiction,"117,358",7 hours 7 minutes,74.69,Fairly easy,,,Yes,"Hold the Line, for We Are Coming!",1918,Anonymous,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"October 27, 2020, 5:54 p.m.",Download
0000422,Julius Caesar,William Shakespeare,1599,English,Drama,"21,188",1 hour 18 minutes,73.88,Fairly easy,,,No,Julius Caesar,1619,Peter Paul Rubens,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 3, 2020, 9:56 p.m.",Download
0000423,King Lear,William Shakespeare,1606,English,Drama,"28,346",1 hour 44 minutes,82.95,Easy,,,No,King Lear,1788,Benjamin West,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 9, 2020, 9:49 p.m.",Download
0000424,Short Fiction,Edgar Allan Poe,1832-49,English,"Adventure, Comedy, Horror, Mystery, Satire, Science Fiction, Shorts","319,192",19 hours 21 minutes,57.3,Fairly difficult,,,No,Saint-Séverin,1909,Robert Delaunay,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 18, 2020, 12:18 a.m.",Download
0000425,"The History of Tom Jones, a Foundling",Henry Fielding,1749,English,Fiction,"348,112",21 hours 6 minutes,60.89,Average difficulty,,,No,William Axtell,1749-52,John Wollaston,League Spartan and Sorts Mill Goudy,The League of Moveable Type,"November 18, 2020, 12:53 a.m.",Download
